Tool,File,Contract,Vulnerability,Severity,SWC-ID,Remediation,Description/More Info,Execution time
slither,smartbugs-dataset/denial_of_service/list_dos.sol,Government,Pragma version^0.4.0 (smartbugs-dataset/denial_of_service/list_dos.sol#8) allows old versions,Medium,SWC-ID: https://swcregistry.io/docs/SWC-102,It is recommended to use a recent version of the Solidity compiler. Using an outdated compiler version can be problematic especially if there are publicly disclosed bugs and issues that affect the current compiler version. refer to https://swcregistry.io/docs/SWC-102/#version_0_4_13sol ,https://github.com/crytic/slither/wiki/Detector-Documentation#incorrect-versions-of-solidity,1.4285399913787842
slither,smartbugs-dataset/denial_of_service/list_dos.sol,Government,Reentrancy in Government.lendGovernmentMoney(address) (smartbugs-dataset/denial_of_service/list_dos.sol#31-86):,High,SWC-ID: https://swcregistry.io/docs/SWC-107,"To avoid re-entrancy, you can use the Checks-Effects-Interactions pattern as outlined in https://docs.soliditylang.org/en/v0.4.21/security-considerations.html#re-entrancy",https://github.com/crytic/slither/wiki/Detector-Documentation#reentrancy-vulnerabilities-4,1.4285399913787842
slither,smartbugs-dataset/denial_of_service/list_dos.sol,Loop,Loop condition i < creditorAmounts.length (smartbugs-dataset/denial_of_service/list_dos.sol#94) should use cached array length instead of referencing `length` member of the storage array.,High,SWC-ID: https://swcregistry.io/docs/SWC-107,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#cache-array-length,1.4285399913787842
mythril,smartbugs-dataset/denial_of_service/list_dos.sol,Government,==== Dependence on predictable environment variable ====,Low,SWC-ID: https://swcregistry.io/docs/SWC-116,A control flow decision is made based on The block.timestamp environment variable.,Estimated Gas Usage: 915 - 1010,83.66513466835022
mythril,smartbugs-dataset/denial_of_service/list_dos.sol,Government,==== Exception State ====,Medium,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 3356 - 37637,83.66513466835022
mythril,smartbugs-dataset/denial_of_service/list_dos.sol,Government,==== Exception State ====,Medium,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 3702 - 37983,83.66513466835022
mythril,smartbugs-dataset/denial_of_service/list_dos.sol,Government,==== Unchecked return value from external call. ====,Medium,SWC-ID: https://swcregistry.io/docs/SWC-104,The return value of a message call is not checked.,Estimated Gas Usage: 2099 - 36380,83.66513466835022
mythril,smartbugs-dataset/denial_of_service/list_dos.sol,Government,==== Unchecked return value from external call. ====,Medium,SWC-ID: https://swcregistry.io/docs/SWC-104,The return value of a message call is not checked.,Estimated Gas Usage: 2176 - 36738,83.66513466835022
mythril,smartbugs-dataset/denial_of_service/list_dos.sol,Government,==== Exception State ====,Medium,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 1212 - 1307,83.66513466835022
mythril,smartbugs-dataset/denial_of_service/list_dos.sol,Government,==== Exception State ====,Medium,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 1278 - 1373,83.66513466835022
slither,smartbugs-dataset/denial_of_service/auction.sol, ,Pragma version^0.4.15 (smartbugs-dataset/denial_of_service/auction.sol#7) allows old versions,Medium,SWC-ID: https://swcregistry.io/docs/SWC-102,It is recommended to use a recent version of the Solidity compiler. Using an outdated compiler version can be problematic especially if there are publicly disclosed bugs and issues that affect the current compiler version. refer to https://swcregistry.io/docs/SWC-102/#version_0_4_13sol ,https://github.com/crytic/slither/wiki/Detector-Documentation#incorrect-versions-of-solidity,1.119023084640503
slither,smartbugs-dataset/denial_of_service/auction.sol, ,Reentrancy in DosAuction.bid() (smartbugs-dataset/denial_of_service/auction.sol#15-28):,High,SWC-ID: https://swcregistry.io/docs/SWC-107,"To avoid re-entrancy, you can use the Checks-Effects-Interactions pattern as outlined in https://docs.soliditylang.org/en/v0.4.21/security-considerations.html#re-entrancy",https://github.com/crytic/slither/wiki/Detector-Documentation#reentrancy-vulnerabilities-4,1.119023084640503
mythril,smartbugs-dataset/denial_of_service/auction.sol,DosAuction,==== Transaction Order Dependence ====,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 15102 - 90373,26.179741144180298
slither,smartbugs-dataset/denial_of_service/dos_simple.sol, ,Pragma version^0.4.25 (smartbugs-dataset/denial_of_service/dos_simple.sol#8) allows old versions,Medium,SWC-ID: https://swcregistry.io/docs/SWC-102,It is recommended to use a recent version of the Solidity compiler. Using an outdated compiler version can be problematic especially if there are publicly disclosed bugs and issues that affect the current compiler version. refer to https://swcregistry.io/docs/SWC-102/#version_0_4_13sol ,https://github.com/crytic/slither/wiki/Detector-Documentation#incorrect-versions-of-solidity,1.1354422569274902
