Tool,File,Contract,Vulnerability,Severity,SWC-ID,Remediation,Description/More Info,Execution time
mythril,smartbugs-dataset/front_running/eth_tx_order_dependence_minimal.sol,EthTxOrderDependenceMinimal,==== Transaction Order Dependence ====,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 8566 - 63507,18.936420917510986
mythril,smartbugs-dataset/front_running/eth_tx_order_dependence_minimal.sol,EthTxOrderDependenceMinimal,==== Unprotected Ether Withdrawal ====,High,SWC-ID: https://swcregistry.io/docs/SWC-105,Any sender can withdraw Ether from the contract account.,Estimated Gas Usage: 8566 - 63507,18.936420917510986
slither,smartbugs-dataset/front_running/odds_and_evens.sol,OddsAndEvens,OddsAndEvens.andTheWinnerIs() (smartbugs-dataset/front_running/odds_and_evens.sol#34-46) sends eth to arbitrary user,High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#functions-that-send-ether-to-arbitrary-destinations,1.2420730590820312
slither,smartbugs-dataset/front_running/odds_and_evens.sol,Deprecated,Deprecated standard detected THROW (smartbugs-dataset/front_running/odds_and_evens.sol#26):,High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#deprecated-standards,1.2420730590820312
slither,smartbugs-dataset/front_running/odds_and_evens.sol,Deprecated,Pragma version^0.4.2 (smartbugs-dataset/front_running/odds_and_evens.sol#7) allows old versions,Medium,SWC-ID: https://swcregistry.io/docs/SWC-102,It is recommended to use a recent version of the Solidity compiler. Using an outdated compiler version can be problematic especially if there are publicly disclosed bugs and issues that affect the current compiler version. refer to https://swcregistry.io/docs/SWC-102/#version_0_4_13sol ,https://github.com/crytic/slither/wiki/Detector-Documentation#incorrect-versions-of-solidity,1.2420730590820312
slither,smartbugs-dataset/front_running/odds_and_evens.sol,Deprecated,Reentrancy in OddsAndEvens.andTheWinnerIs() (smartbugs-dataset/front_running/odds_and_evens.sol#34-46):,High,SWC-ID: https://swcregistry.io/docs/SWC-107,"To avoid re-entrancy, you can use the Checks-Effects-Interactions pattern as outlined in https://docs.soliditylang.org/en/v0.4.21/security-considerations.html#re-entrancy",https://github.com/crytic/slither/wiki/Detector-Documentation#reentrancy-vulnerabilities-4,1.2420730590820312
mythril,smartbugs-dataset/front_running/odds_and_evens.sol,OddsAndEvens,==== Unchecked return value from external call. ====,Medium,SWC-ID: https://swcregistry.io/docs/SWC-104,The return value of a message call is not checked.,Estimated Gas Usage: 2505 - 37116,38.32890820503235
mythril,smartbugs-dataset/front_running/odds_and_evens.sol,OddsAndEvens,==== Exception State ====,Medium,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 258 - 353,38.32890820503235
mythril,smartbugs-dataset/front_running/odds_and_evens.sol,OddsAndEvens,==== Unchecked return value from external call. ====,Medium,SWC-ID: https://swcregistry.io/docs/SWC-104,The return value of a message call is not checked.,Estimated Gas Usage: 50811 - 248626,38.32890820503235
mythril,smartbugs-dataset/front_running/odds_and_evens.sol,OddsAndEvens,==== Unchecked return value from external call. ====,Medium,SWC-ID: https://swcregistry.io/docs/SWC-104,The return value of a message call is not checked.,Estimated Gas Usage: 50801 - 248616,38.32890820503235
mythril,smartbugs-dataset/front_running/odds_and_evens.sol,OddsAndEvens,==== Unprotected Ether Withdrawal ====,High,SWC-ID: https://swcregistry.io/docs/SWC-105,Any sender can withdraw Ether from the contract account.,Estimated Gas Usage: 50801 - 248616,38.32890820503235
