Tool,File,Contract,Vulnerability,Severity,SWC.ID,Remediation,Description.More.Info,Execution.time,Total.Time,source_file,subfolder,filename
mythril,smartbugs-dataset/access_control/phishable.sol,Phishable,Unprotected Ether Withdrawal,High,SWC-ID: https://swcregistry.io/docs/SWC-105,Any sender can withdraw Ether from the contract account.,Estimated Gas Usage: 2607 - 37218,34.18384814,675.9885309,output_access_control.csv,accesscontrol,phishable.sol
slither,smartbugs-dataset/access_control/mapping_write.sol#L11-L30,Map,controlled-array-length,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.655660391,675.9885309,output_access_control.csv,accesscontrol,mapping_write.sol#L11-L30
slither,smartbugs-dataset/access_control/mapping_write.sol#L12,Map.owner,uninitialized-state,High,SWC-ID: https://swcregistry.io/docs/SWC- ,High,,0.655660391,675.9885309,output_access_control.csv,accesscontrol,mapping_write.sol#L12
mythril,smartbugs-dataset/access_control/mapping_write.sol,Map,Exception State,Low,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 7769 - 27864,22.3340075,675.9885309,output_access_control.csv,accesscontrol,mapping_write.sol
mythril,smartbugs-dataset/access_control/mapping_write.sol,Map,Write to an arbitrary storage location,High,SWC-ID: https://swcregistry.io/docs/SWC-124,The caller can write to arbitrary storage locations.,Estimated Gas Usage: 12845 - 53035,22.3340075,675.9885309,output_access_control.csv,accesscontrol,mapping_write.sol
mythril,smartbugs-dataset/access_control/mapping_write.sol,Map,Transaction Order Dependence,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 2542 - 37153,22.3340075,675.9885309,output_access_control.csv,accesscontrol,mapping_write.sol
mythril,smartbugs-dataset/access_control/mapping_write.sol,Map,Unprotected Ether Withdrawal,High,SWC-ID: https://swcregistry.io/docs/SWC-105,Any sender can withdraw Ether from the contract account.,Estimated Gas Usage: 2542 - 37153,22.3340075,675.9885309,output_access_control.csv,accesscontrol,mapping_write.sol
mythril,smartbugs-dataset/access_control/mapping_write.sol,Map,Exception State,Medium,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 1083 - 1178,22.3340075,675.9885309,output_access_control.csv,accesscontrol,mapping_write.sol
slither,smartbugs-dataset/access_control/FibonacciBalance.sol#L26-L33,FibonacciBalance.withdraw(),arbitrary-send-eth,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.663857698,675.9885309,output_access_control.csv,accesscontrol,FibonacciBalance.sol#L26-L33
slither,smartbugs-dataset/access_control/FibonacciBalance.sol#L36-L39,FibonacciBalance.fallback(),controlled-delegatecall,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.663857698,675.9885309,output_access_control.csv,accesscontrol,FibonacciBalance.sol#L36-L39
slither,smartbugs-dataset/access_control/FibonacciBalance.sol#L14,FibonacciBalance.calculatedFibNumber,uninitialized-state,High,SWC-ID: https://swcregistry.io/docs/SWC- ,High,,0.663857698,675.9885309,output_access_control.csv,accesscontrol,FibonacciBalance.sol#L14
mythril,smartbugs-dataset/access_control/FibonacciBalance.sol,FibonacciBalance,Delegatecall to user-supplied address,High,SWC-ID: https://swcregistry.io/docs/SWC-112,The contract delegates execution to another contract with a user-supplied address.,Estimated Gas Usage: 1748 - 38663,47.99974656,675.9885309,output_access_control.csv,accesscontrol,FibonacciBalance.sol
mythril,smartbugs-dataset/access_control/FibonacciBalance.sol,FibonacciBalance,Delegatecall to user-supplied address,High,SWC-ID: https://swcregistry.io/docs/SWC-112,The contract delegates execution to another contract with a user-supplied address.,Estimated Gas Usage: 10192 - 99460,47.99974656,675.9885309,output_access_control.csv,accesscontrol,FibonacciBalance.sol
mythril,smartbugs-dataset/access_control/FibonacciBalance.sol,FibonacciBalance,State access after external call,Medium,SWC-ID: https://swcregistry.io/docs/SWC-107,Read of persistent state following external call,Estimated Gas Usage: 10192 - 99460,47.99974656,675.9885309,output_access_control.csv,accesscontrol,FibonacciBalance.sol
mythril,smartbugs-dataset/access_control/FibonacciBalance.sol,FibonacciBalance,Multiple Calls in a Single Transaction,Low,SWC-ID: https://swcregistry.io/docs/SWC-113,Multiple calls are executed in the same transaction.,Estimated Gas Usage: 10192 - 99460,47.99974656,675.9885309,output_access_control.csv,accesscontrol,FibonacciBalance.sol
mythril,smartbugs-dataset/access_control/FibonacciBalance.sol,FibonacciBalance,State access after external call,Medium,SWC-ID: https://swcregistry.io/docs/SWC-107,Write to persistent state following external call,Estimated Gas Usage: 10192 - 99460,47.99974656,675.9885309,output_access_control.csv,accesscontrol,FibonacciBalance.sol
mythril,smartbugs-dataset/access_control/FibonacciBalance.sol,FibonacciBalance,Transaction Order Dependence,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 10192 - 99460,47.99974656,675.9885309,output_access_control.csv,accesscontrol,FibonacciBalance.sol
slither,smartbugs-dataset/access_control/proxy.sol#L17-L20,"Proxy.forward(address,bytes)",controlled-delegatecall,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.620614529,675.9885309,output_access_control.csv,accesscontrol,proxy.sol#L17-L20
mythril,smartbugs-dataset/access_control/proxy.sol,Proxy,Delegatecall to user-supplied address,High,SWC-ID: https://swcregistry.io/docs/SWC-112,The contract delegates execution to another contract with a user-supplied address.,Estimated Gas Usage: 1312 - 38273,28.91011429,675.9885309,output_access_control.csv,accesscontrol,proxy.sol
mythril,smartbugs-dataset/access_control/incorrect_constructor_name2.sol,Missing,Transaction Order Dependence,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 3357 - 38298,11.10908961,675.9885309,output_access_control.csv,accesscontrol,incorrect_constructor_name2.sol
mythril,smartbugs-dataset/access_control/incorrect_constructor_name2.sol,Missing,Unprotected Ether Withdrawal,High,SWC-ID: https://swcregistry.io/docs/SWC-105,Any sender can withdraw Ether from the contract account.,Estimated Gas Usage: 3357 - 38298,11.10908961,675.9885309,output_access_control.csv,accesscontrol,incorrect_constructor_name2.sol
mythril,smartbugs-dataset/access_control/incorrect_constructor_name3.sol,Missing,Transaction Order Dependence,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 3357 - 38298,10.92229009,675.9885309,output_access_control.csv,accesscontrol,incorrect_constructor_name3.sol
mythril,smartbugs-dataset/access_control/incorrect_constructor_name3.sol,Missing,Unprotected Ether Withdrawal,High,SWC-ID: https://swcregistry.io/docs/SWC-105,Any sender can withdraw Ether from the contract account.,Estimated Gas Usage: 3357 - 38298,10.92229009,675.9885309,output_access_control.csv,accesscontrol,incorrect_constructor_name3.sol
slither,smartbugs-dataset/access_control/rubixi.sol#L10-L162,Rubixi,controlled-array-length,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.784152269,675.9885309,output_access_control.csv,accesscontrol,rubixi.sol#L10-L162
slither,smartbugs-dataset/access_control/rubixi.sol#L99-L105,Rubixi.collectPercentOfFees(uint256),divide-before-multiply,Medium,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.784152269,675.9885309,output_access_control.csv,accesscontrol,rubixi.sol#L99-L105
slither,smartbugs-dataset/access_control/rubixi.sol#L99-L105,Rubixi.collectPercentOfFees(uint256),unchecked-send,Medium,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.784152269,675.9885309,output_access_control.csv,accesscontrol,rubixi.sol#L99-L105
mythril,smartbugs-dataset/access_control/rubixi.sol,Rubixi,Exception State,Medium,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 1822 - 1917,51.22782993,675.9885309,output_access_control.csv,accesscontrol,rubixi.sol
mythril,smartbugs-dataset/access_control/rubixi.sol,Rubixi,Exception State,Medium,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 2002 - 2097,51.22782993,675.9885309,output_access_control.csv,accesscontrol,rubixi.sol
mythril,smartbugs-dataset/access_control/multiowned_vulnerable.sol,TestContract,Transaction Order Dependence,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 2629 - 37430,181.0205195,675.9885309,output_access_control.csv,accesscontrol,multiowned_vulnerable.sol
mythril,smartbugs-dataset/access_control/multiowned_vulnerable.sol,TestContract,Unprotected Ether Withdrawal,High,SWC-ID: https://swcregistry.io/docs/SWC-105,Any sender can withdraw Ether from the contract account.,Estimated Gas Usage: 2629 - 37430,181.0205195,675.9885309,output_access_control.csv,accesscontrol,multiowned_vulnerable.sol
mythril,smartbugs-dataset/access_control/wallet_02_refund_nosub.sol,Wallet,Unprotected Ether Withdrawal,High,SWC-ID: https://swcregistry.io/docs/SWC-105,Any sender can withdraw Ether from the contract account.,Estimated Gas Usage: 7840 - 62501,103.0344684,675.9885309,output_access_control.csv,accesscontrol,wallet_02_refund_nosub.sol
mythril,smartbugs-dataset/access_control/wallet_02_refund_nosub.sol,Wallet,Transaction Order Dependence,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 1872 - 36343,103.0344684,675.9885309,output_access_control.csv,accesscontrol,wallet_02_refund_nosub.sol
mythril,smartbugs-dataset/access_control/wallet_02_refund_nosub.sol,Wallet,Unprotected Ether Withdrawal,High,SWC-ID: https://swcregistry.io/docs/SWC-105,Any sender can withdraw Ether from the contract account.,Estimated Gas Usage: 1872 - 36343,103.0344684,675.9885309,output_access_control.csv,accesscontrol,wallet_02_refund_nosub.sol
mythril,smartbugs-dataset/access_control/wallet_02_refund_nosub.sol,Wallet,Exception State,Medium,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 1977 - 2452,103.0344684,675.9885309,output_access_control.csv,accesscontrol,wallet_02_refund_nosub.sol
slither,smartbugs-dataset/access_control/arbitrary_location_write_simple.sol#L9-L40,Wallet,controlled-array-length,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.670902729,675.9885309,output_access_control.csv,accesscontrol,arbitrary_location_write_simple.sol#L9-L40
slither,smartbugs-dataset/access_control/arbitrary_location_write_simple.sol#L25-L29,Wallet.PopBonusCode(),tautology,Medium,SWC-ID: https://swcregistry.io/docs/SWC- ,High,,0.670902729,675.9885309,output_access_control.csv,accesscontrol,arbitrary_location_write_simple.sol#L25-L29
mythril,smartbugs-dataset/access_control/arbitrary_location_write_simple.sol,Wallet,Write to an arbitrary storage location,High,SWC-ID: https://swcregistry.io/docs/SWC-124,The caller can write to arbitrary storage locations.,Estimated Gas Usage: 6957 - 27147,25.26901078,675.9885309,output_access_control.csv,accesscontrol,arbitrary_location_write_simple.sol
mythril,smartbugs-dataset/access_control/arbitrary_location_write_simple.sol,Wallet,Integer Arithmetic Bugs,High,SWC-ID: https://swcregistry.io/docs/SWC-101,tower,Estimated Gas Usage: 7692 - 27787,25.26901078,675.9885309,output_access_control.csv,accesscontrol,arbitrary_location_write_simple.sol
mythril,smartbugs-dataset/access_control/arbitrary_location_write_simple.sol,Wallet,Integer Arithmetic Bugs,High,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can overflow.,Estimated Gas Usage: 11188 - 51378,25.26901078,675.9885309,output_access_control.csv,accesscontrol,arbitrary_location_write_simple.sol
mythril,smartbugs-dataset/access_control/arbitrary_location_write_simple.sol,Wallet,Integer Arithmetic Bugs,Low,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can overflow.,Estimated Gas Usage: 12901 - 53091,25.26901078,675.9885309,output_access_control.csv,accesscontrol,arbitrary_location_write_simple.sol
mythril,smartbugs-dataset/access_control/arbitrary_location_write_simple.sol,Wallet,Integer Arithmetic Bugs,Low,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can overflow.,Estimated Gas Usage: 12901 - 53091,25.26901078,675.9885309,output_access_control.csv,accesscontrol,arbitrary_location_write_simple.sol
mythril,smartbugs-dataset/access_control/wallet_03_wrong_constructor.sol,Wallet,Transaction Order Dependence,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 2629 - 37240,50.98629451,675.9885309,output_access_control.csv,accesscontrol,wallet_03_wrong_constructor.sol
mythril,smartbugs-dataset/access_control/wallet_03_wrong_constructor.sol,Wallet,Unprotected Ether Withdrawal,High,SWC-ID: https://swcregistry.io/docs/SWC-105,Any sender can withdraw Ether from the contract account.,Estimated Gas Usage: 2629 - 37240,50.98629451,675.9885309,output_access_control.csv,accesscontrol,wallet_03_wrong_constructor.sol
mythril,smartbugs-dataset/access_control/wallet_03_wrong_constructor.sol,Wallet,Exception State,Medium,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 1977 - 2452,50.98629451,675.9885309,output_access_control.csv,accesscontrol,wallet_03_wrong_constructor.sol
slither,smartbugs-dataset/arithmetic/integer_overflow_minimal.sol,TimeLock,TimeLock.withdraw() (smartbugs-dataset/arithmetic/timelock.sol#25-31) uses timestamp for comparisons,Low,SWC-ID: https://swcregistry.io/docs/SWC-116,"Developers should write smart contracts with the notion that block values are not precise, and the use of them can lead to unexpected effects. Alterna-tively, they may make use of oracles. refer to https://swcregistry.io/docs/SWC-116/ ",https://github.com/crytic/slither/wiki/Detector-Documentation#block-timestamp,0.80529213,226.4621739,output_arithmetic.csv,arithmetic,integer_overflow_minimal.sol
slither,smartbugs-dataset/arithmetic/integer_overflow_minimal.sol,Version,Version constraint ^0.4.0 contains known severe issues (https://solidity.readthedocs.io/en/latest/bugs.html),High,SWC-ID: https://swcregistry.io/docs/SWC-116,See description,No description provided,0.80529213,226.4621739,output_arithmetic.csv,arithmetic,integer_overflow_minimal.sol
slither,smartbugs-dataset/arithmetic/integer_overflow_minimal.sol,Token,"Token.transfer(address,uint256) (smartbugs-dataset/arithmetic/token.sol#18-25) contains a tautology or contradiction:",High,SWC-ID: https://swcregistry.io/docs/SWC-116,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#tautology-or-contradiction,0.80529213,226.4621739,output_arithmetic.csv,arithmetic,integer_overflow_minimal.sol
slither,smartbugs-dataset/arithmetic/integer_overflow_minimal.sol,Version,Version constraint ^0.4.18 contains known severe issues (https://solidity.readthedocs.io/en/latest/bugs.html),High,SWC-ID: https://swcregistry.io/docs/SWC-116,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#incorrect-versions-of-solidity,0.80529213,226.4621739,output_arithmetic.csv,arithmetic,integer_overflow_minimal.sol
slither,smartbugs-dataset/arithmetic/integer_overflow_minimal.sol,Parameter,"Parameter Token.transfer(address,uint256)._to (smartbugs-dataset/arithmetic/token.sol#18) is not in mixedCase",High,SWC-ID: https://swcregistry.io/docs/SWC-116,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#conformance-to-solidity-naming-conventions,0.80529213,226.4621739,output_arithmetic.csv,arithmetic,integer_overflow_minimal.sol
slither,smartbugs-dataset/arithmetic/integer_overflow_add.sol,TimeLock,TimeLock.withdraw() (smartbugs-dataset/arithmetic/timelock.sol#25-31) uses timestamp for comparisons,Low,SWC-ID: https://swcregistry.io/docs/SWC-116,"Developers should write smart contracts with the notion that block values are not precise, and the use of them can lead to unexpected effects. Alterna-tively, they may make use of oracles. refer to https://swcregistry.io/docs/SWC-116/ ",https://github.com/crytic/slither/wiki/Detector-Documentation#block-timestamp,0.799451113,226.4621739,output_arithmetic.csv,arithmetic,integer_overflow_add.sol
slither,smartbugs-dataset/arithmetic/integer_overflow_add.sol,Version,Version constraint ^0.4.0 contains known severe issues (https://solidity.readthedocs.io/en/latest/bugs.html),High,SWC-ID: https://swcregistry.io/docs/SWC-116,See description,No description provided,0.799451113,226.4621739,output_arithmetic.csv,arithmetic,integer_overflow_add.sol
slither,smartbugs-dataset/arithmetic/integer_overflow_add.sol,Token,"Token.transfer(address,uint256) (smartbugs-dataset/arithmetic/token.sol#18-25) contains a tautology or contradiction:",High,SWC-ID: https://swcregistry.io/docs/SWC-116,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#tautology-or-contradiction,0.799451113,226.4621739,output_arithmetic.csv,arithmetic,integer_overflow_add.sol
slither,smartbugs-dataset/arithmetic/integer_overflow_add.sol,Version,Version constraint ^0.4.18 contains known severe issues (https://solidity.readthedocs.io/en/latest/bugs.html),High,SWC-ID: https://swcregistry.io/docs/SWC-116,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#incorrect-versions-of-solidity,0.799451113,226.4621739,output_arithmetic.csv,arithmetic,integer_overflow_add.sol
slither,smartbugs-dataset/arithmetic/integer_overflow_add.sol,Parameter,"Parameter Token.transfer(address,uint256)._to (smartbugs-dataset/arithmetic/token.sol#18) is not in mixedCase",High,SWC-ID: https://swcregistry.io/docs/SWC-116,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#conformance-to-solidity-naming-conventions,0.799451113,226.4621739,output_arithmetic.csv,arithmetic,integer_overflow_add.sol
slither,smartbugs-dataset/arithmetic/integer_overflow_1.sol,TimeLock,TimeLock.withdraw() (smartbugs-dataset/arithmetic/timelock.sol#25-31) uses timestamp for comparisons,Low,SWC-ID: https://swcregistry.io/docs/SWC-116,"Developers should write smart contracts with the notion that block values are not precise, and the use of them can lead to unexpected effects. Alterna-tively, they may make use of oracles. refer to https://swcregistry.io/docs/SWC-116/ ",https://github.com/crytic/slither/wiki/Detector-Documentation#block-timestamp,0.788173199,226.4621739,output_arithmetic.csv,arithmetic,integer_overflow_1.sol
slither,smartbugs-dataset/arithmetic/integer_overflow_1.sol,Version,Version constraint ^0.4.0 contains known severe issues (https://solidity.readthedocs.io/en/latest/bugs.html),High,SWC-ID: https://swcregistry.io/docs/SWC-116,See description,No description provided,0.788173199,226.4621739,output_arithmetic.csv,arithmetic,integer_overflow_1.sol
slither,smartbugs-dataset/arithmetic/integer_overflow_1.sol,Token,"Token.transfer(address,uint256) (smartbugs-dataset/arithmetic/token.sol#18-25) contains a tautology or contradiction:",High,SWC-ID: https://swcregistry.io/docs/SWC-116,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#tautology-or-contradiction,0.788173199,226.4621739,output_arithmetic.csv,arithmetic,integer_overflow_1.sol
slither,smartbugs-dataset/arithmetic/integer_overflow_1.sol,Version,Version constraint ^0.4.18 contains known severe issues (https://solidity.readthedocs.io/en/latest/bugs.html),High,SWC-ID: https://swcregistry.io/docs/SWC-116,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#incorrect-versions-of-solidity,0.788173199,226.4621739,output_arithmetic.csv,arithmetic,integer_overflow_1.sol
slither,smartbugs-dataset/arithmetic/integer_overflow_1.sol,Parameter,"Parameter Token.transfer(address,uint256)._to (smartbugs-dataset/arithmetic/token.sol#18) is not in mixedCase",High,SWC-ID: https://swcregistry.io/docs/SWC-116,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#conformance-to-solidity-naming-conventions,0.788173199,226.4621739,output_arithmetic.csv,arithmetic,integer_overflow_1.sol
slither,smartbugs-dataset/arithmetic/BECToken.sol,Version,Version constraint ^0.4.16 contains known severe issues (https://solidity.readthedocs.io/en/latest/bugs.html),High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#incorrect-versions-of-solidity,0.549045086,226.4621739,output_arithmetic.csv,arithmetic,BECToken.sol
slither,smartbugs-dataset/arithmetic/BECToken.sol,Parameter,"Parameter BasicToken.transfer(address,uint256)._to (smartbugs-dataset/arithmetic/BECToken.sol#65) is not in mixedCase",High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#conformance-to-solidity-naming-conventions,0.549045086,226.4621739,output_arithmetic.csv,arithmetic,BECToken.sol
slither,smartbugs-dataset/arithmetic/BECToken.sol,BecToken,BecToken.BecToken() (smartbugs-dataset/arithmetic/BECToken.sol#297-300) uses literals with too many digits:,High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#too-many-digits,0.549045086,226.4621739,output_arithmetic.csv,arithmetic,BECToken.sol
slither,smartbugs-dataset/arithmetic/BECToken.sol,BecToken,BecToken.decimals (smartbugs-dataset/arithmetic/BECToken.sol#292) should be constant ,High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#state-variables-that-could-be-declared-constant,0.549045086,226.4621739,output_arithmetic.csv,arithmetic,BECToken.sol
slither,smartbugs-dataset/arithmetic/BECToken.sol,batchTransfer,"batchTransfer(address[],uint256) should be declared external:",High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#public-function-that-could-be-declared-external,0.549045086,226.4621739,output_arithmetic.csv,arithmetic,BECToken.sol
mythril,smartbugs-dataset/arithmetic/token.sol,Token,==== Integer Arithmetic Bugs ====,High,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can underflow.,Estimated Gas Usage: 13093 - 54039,9.097319126,226.4621739,output_arithmetic.csv,arithmetic,token.sol
mythril,smartbugs-dataset/arithmetic/token.sol,Token,==== Integer Arithmetic Bugs ====,High,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can underflow.,Estimated Gas Usage: 13093 - 54039,9.097319126,226.4621739,output_arithmetic.csv,arithmetic,token.sol
mythril,smartbugs-dataset/arithmetic/token.sol,Token,==== Integer Arithmetic Bugs ====,High,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can overflow.,Estimated Gas Usage: 13093 - 54039,9.097319126,226.4621739,output_arithmetic.csv,arithmetic,token.sol
mythril,smartbugs-dataset/arithmetic/overflow_single_tx.sol,IntegerOverflowSingleTransaction,==== Integer Arithmetic Bugs ====,High,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can underflow.,Estimated Gas Usage: 6068 - 26163,52.72133589,226.4621739,output_arithmetic.csv,arithmetic,overflow_single_tx.sol
mythril,smartbugs-dataset/arithmetic/overflow_single_tx.sol,IntegerOverflowSingleTransaction,==== Integer Arithmetic Bugs ====,High,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can overflow.,Estimated Gas Usage: 6092 - 26187,52.72133589,226.4621739,output_arithmetic.csv,arithmetic,overflow_single_tx.sol
mythril,smartbugs-dataset/arithmetic/overflow_single_tx.sol,IntegerOverflowSingleTransaction,==== Integer Arithmetic Bugs ====,High,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can overflow.,Estimated Gas Usage: 6134 - 26229,52.72133589,226.4621739,output_arithmetic.csv,arithmetic,overflow_single_tx.sol
mythril,smartbugs-dataset/arithmetic/integer_overflow_minimal.sol,IntegerOverflowAdd,==== Integer Arithmetic Bugs ====,High,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can overflow.,Estimated Gas Usage: 6019 - 26114,5.027501106,226.4621739,output_arithmetic.csv,arithmetic,integer_overflow_minimal.sol
mythril,smartbugs-dataset/arithmetic/insecure_transfer.sol,IntegerOverflowMappingSym1,==== Exception State ====,Medium,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 64 - 159,7.061880112,226.4621739,output_arithmetic.csv,arithmetic,insecure_transfer.sol
mythril,smartbugs-dataset/arithmetic/insecure_transfer.sol,IntegerOverflowMappingSym1,==== Integer Arithmetic Bugs ====,High,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can underflow.,Estimated Gas Usage: 6081 - 26366,7.061880112,226.4621739,output_arithmetic.csv,arithmetic,insecure_transfer.sol
mythril,smartbugs-dataset/arithmetic/timelock.sol,TimeLock,==== Dependence on predictable environment variable ====,Low,SWC-ID: https://swcregistry.io/docs/SWC-116,A control flow decision is made based on The block.timestamp environment variable.,Estimated Gas Usage: 1973 - 2448,18.41299009,226.4621739,output_arithmetic.csv,arithmetic,timelock.sol
