OpenSCV Index,OpenSCV Description,SWC ID,SWC Name,SCSVS Category,SCSVS Requirement
5.13.2 Write to Arbitrary Storage Location,"This vulnerability happens when arbitrary data is written to storage.",SWC-124,Write to Arbitrary Storage Location,Malicious Input Handling,V5.2: Verify that input validation is enforced for all data from external sources.
5.15 Typographical Error,"This category includes lexical or typographical errors (i.e., a typo) that mislead other developers and may result in program errors.",SWC-129,Typographical Error,Arithmetic,V4.2: Verify that no precision loss is present within the contract.
6.1.1 Incorrect Use of Event Blockchain variables for Time,"Using block timestamp or block number to calculate time is problematic due to miners' manipulation.",SWC-116,Block values as a proxy for time,Blockchain Data,V3.3: Verify that timestamps are not used for critical contract logic.
6.1.2 Incorrect Function Call Order,"The incorrect call order of functions in a contract can lead to unwanted side-effects.",SWC-114,Transaction Order Dependence,Business Logic,V10.4: Verify that the contract logic accounts for front-running and transaction reordering attacks.
6.1.2 Incorrect Function Call Order,"The incorrect call order of functions in a contract can lead to unwanted side-effects.",SWC-114,Transaction Order Dependence,External Interactions,V11.5: Verify that the contract implements protection against front-running sandwich and monitoring attacks.
6.1.2 Incorrect Function Call Order,"The incorrect call order of functions in a contract can lead to unwanted side-effects.",SWC-114,Transaction Order Dependence,Known Attacks,V12.1: Verify that the contract has protection against replay attacks.
6.1.3 Improper Locking,"This vulnerability happens due to issues with locking mechanisms in the contract.",SWC-132,Unexpected Ether Balance,Token Standards Compliance,V7.1: Verify that contract implementations match token interface criteria.
6.1.3 Improper Locking,"This vulnerability happens due to issues with locking mechanisms in the contract.",SWC-132,Unexpected Ether Balance,Business Logic,V10.3: Verify that the business logic does not rely on exact Ether balance in the contract.
6.1.3 Improper Locking,"This vulnerability happens due to issues with locking mechanisms in the contract.",SWC-132,Unexpected Ether Balance,Known Attacks,V12.4: Verify that the contract has protection against oracle manipulation.
6.1.4 Transfer Pre-Condition Dependent on Transaction Order,"This vulnerability happens when the precondition for a transfer depends on the order of transactions.",SWC-114,Transaction Order Dependence,Business Logic,V10.4: Verify that the contract logic accounts for front-running and transaction reordering attacks.
6.1.4 Transfer Pre-Condition Dependent on Transaction Order,"This vulnerability happens when the precondition for a transfer depends on the order of transactions.",SWC-114,Transaction Order Dependence,External Interactions,V11.5: Verify that the contract implements protection against front-running sandwich and monitoring attacks.
6.1.4 Transfer Pre-Condition Dependent on Transaction Order,"This vulnerability happens when the precondition for a transfer depends on the order of transactions.",SWC-114,Transaction Order Dependence,Known Attacks,V12.1: Verify that the contract has protection against replay attacks.
6.1.5 Transfer Amount Depending on Transaction Order,"This vulnerability happens when the value of a transfer depends on the order of transactions.",SWC-114,Transaction Order Dependence,Business Logic,V10.4: Verify that the contract logic accounts for front-running and transaction reordering attacks.
6.1.5 Transfer Amount Depending on Transaction Order,"This vulnerability happens when the value of a transfer depends on the order of transactions.",SWC-114,Transaction Order Dependence,External Interactions,V11.5: Verify that the contract implements protection against front-running sandwich and monitoring attacks.
6.1.5 Transfer Amount Depending on Transaction Order,"This vulnerability happens when the value of a transfer depends on the order of transactions.",SWC-114,Transaction Order Dependence,Known Attacks,V12.1: Verify that the contract has protection against replay attacks.
6.1.6 Transfer Recipient Depending on Transaction Order,"This vulnerability happens when the recipient of a transfer depends on the order of transactions.",SWC-114,Transaction Order Dependence,Business Logic,V10.4: Verify that the contract logic accounts for front-running and transaction reordering attacks.
6.1.6 Transfer Recipient Depending on Transaction Order,"This vulnerability happens when the recipient of a transfer depends on the order of transactions.",SWC-114,Transaction Order Dependence,External Interactions,V11.5: Verify that the contract implements protection against front-running sandwich and monitoring attacks.
6.1.6 Transfer Recipient Depending on Transaction Order,"This vulnerability happens when the recipient of a transfer depends on the order of transactions.",SWC-114,Transaction Order Dependence,Known Attacks,V12.1: Verify that the contract has protection against replay attacks.
6.2.2 Extraneous Input Validation,"This vulnerability happens when the input validation performed is excessive or redundant.",SWC-123,Requirement Violation,Malicious Input Handling,V5.1: Verify that contract logic has considered and properly validates unexpected values and states.
7.1.1 Integer Underflow,"This vulnerability happens when a signed integer reaches a value below its lower limit.",SWC-101,Integer Overflow and Underflow,Arithmetic,V4.1: Verify that the contract uses established safe math libraries for arithmetic operations.
7.1.2 Integer Overflow,"This vulnerability happens when a signed integer exceeds the maximum value that can be represented.",SWC-101,Integer Overflow and Underflow,Arithmetic,V4.1: Verify that the contract uses established safe math libraries for arithmetic operations.
7.2.1 Divide by Zero,"This vulnerability happens when the divisor in a division operation becomes zero.",SWC-130,Right-To-Left-Override control character (U+202E),Malicious Input Handling,V5.1: Verify that contract logic has considered and properly validates unexpected values and states.
7.2.2 Integer Division,"This vulnerability happens due to issues with integer division, where the fractional part is truncated.",SWC-101,Integer Overflow and Underflow,Arithmetic,V4.1: Verify that the contract uses established safe math libraries for arithmetic operations.
7.3.1 Truncation Bugs,"This vulnerability happens when values are truncated due to type conversion.",SWC-101,Integer Overflow and Underflow,Arithmetic,V4.1: Verify that the contract uses established safe math libraries for arithmetic operations.
7.3.2 Signedness Bugs,"This vulnerability happens due to issues with signed and unsigned integers.",SWC-101,Integer Overflow and Underflow,Arithmetic,V4.1: Verify that the contract uses established safe math libraries for arithmetic operations.
8.1.1 Wrong Caller Identification,"This vulnerability happens when there is a wrong authentication mechanism to identify the caller.",SWC-115,Authorization through tx.origin,Architecture and Design,V1.10: Verify the contract has a proper ownership management with clear and efficient transfer capabilities if required.
8.1.1 Wrong Caller Identification,"This vulnerability happens when there is a wrong authentication mechanism to identify the caller.",SWC-115,Authorization through tx.origin,Access Control,V2.2: Verify that the system enforces access control rules specified in a trusted contract and rejects by default.
8.1.3 Missing verification for program termination,"This vulnerability happens when a contract terminates without proper verification.",SWC-106,Unprotected SELFDESTRUCT Instruction,Access Control,V2.4: Verify that the principle of deny by default exists whereby processes services functions or configurations are disabled by default.
8.2.1 Exposed private data,"This vulnerability happens when private data is exposed.",SWC-136,Unencrypted Private Data On-Chain,Access Control,V2.1: Verify that the principle of least privilege exists - other contracts should only be able to access functions and data they require.
8.3.1 Incorrect Verification of Cryptographic Signature,"This vulnerability happens when the signature verification mechanism is flawed.",SWC-122,Lack of Proper Signature Verification,Access Control,V2.12: Verify proper verification of signatures if they are used in the contract.
8.3.2 Improper Check against Signature Replay Attacks,"This vulnerability happens when the contract does not properly check against signature replay attacks.",SWC-121,Missing Protection against Signature Replay Attacks,Access Control,V2.12: Verify proper verification of signatures if they are used in the contract.
8.3.3 Improper authenticity check,"This vulnerability happens when the authenticity check is insufficient or incorrect.",SWC-122,Lack of Proper Signature Verification,Access Control,V2.12: Verify proper verification of signatures if they are used in the contract.
8.3.4 Incorrect Argument Encoding,"This vulnerability happens when the arguments for a function are incorrectly encoded.",SWC-133,Hash Collisions With Multiple Variable Length Arguments,Malicious Input Handling,V5.2: Verify that input validation is enforced for all data from external sources.
