name,path,source,category,vulnerable_lines
"parity_wallet_bug_2.sol","dataset/access_control/parity_wallet_bug_2.sol","https://smartcontractsecurity.github.io/SWC-registry/docs/SWC-106#walletlibrarysol","access_control","233"
"phishable.sol","dataset/access_control/phishable.sol","https://github.com/sigp/solidity-security-blog","access_control","20"
"proxy.sol","dataset/access_control/proxy.sol","https://smartcontractsecurity.github.io/SWC-registry/docs/SWC-112#proxysol","access_control","19"
"rubixi.sol","dataset/access_control/rubixi.sol","https://github.com/trailofbits/not-so-smart-contracts/blob/master/wrong_constructor_name/Rubixi_source_code/Rubixi.sol","access_control","23, 24"
"simple_suicide.sol","dataset/access_control/simple_suicide.sol","https://github.com/SmartContractSecurity/SWC-registry/blob/master/test_cases/unprotected_critical_functions/simple_suicide.sol","access_control","12, 13"
"unprotected0.sol","dataset/access_control/unprotected0.sol","https://github.com/trailofbits/not-so-smart-contracts/blob/master/unprotected_function/Unprotected.sol","access_control","25"
"wallet_02_refund_nosub.sol","dataset/access_control/wallet_02_refund_nosub.sol","https://smartcontractsecurity.github.io/SWC-registry/docs/SWC-105#wallet-02-refund-nosubsol","access_control","36"
"wallet_03_wrong_constructor.sol","dataset/access_control/wallet_03_wrong_constructor.sol","https://smartcontractsecurity.github.io/SWC-registry/docs/SWC-105#wallet-03-wrong-constructorsol","access_control","19, 20"
"wallet_04_confused_sign.sol","dataset/access_control/wallet_04_confused_sign.sol","https://smartcontractsecurity.github.io/SWC-registry/docs/SWC-105#wallet-04-confused-signsol","access_control","30"
"BECToken.sol","dataset/arithmetic/BECToken.sol","https://smartcontractsecurity.github.io/SWC-registry/docs/SWC-101#bectokensol","arithmetic","264"
"integer_overflow_1.sol","dataset/arithmetic/integer_overflow_1.sol","https://github.com/trailofbits/not-so-smart-contracts/blob/master/integer_overflow/integer_overflow_1.sol","arithmetic","14"
"integer_overflow_add.sol","dataset/arithmetic/integer_overflow_add.sol","https://github.com/ConsenSys/evm-analyzer-benchmark-suite/blob/master/benchmarks/integer_overflow_add.sol","arithmetic","17"
"integer_overflow_benign_1.sol","dataset/arithmetic/integer_overflow_benign_1.sol","https://github.com/SmartContractSecurity/SWC-registry/blob/master/test_cases/integer_overflow_and_underflow/integer_overflow_benign_1.sol","arithmetic","17"
"integer_overflow_mapping_sym_1.sol","dataset/arithmetic/integer_overflow_mapping_sym_1.sol","https://github.com/SmartContractSecurity/SWC-registry/blob/master/test_cases/integer_overflow_and_underflow/integer_overflow_mapping_sym_1.sol","arithmetic","16"
"integer_overflow_minimal.sol","dataset/arithmetic/integer_overflow_minimal.sol","https://github.com/SmartContractSecurity/SWC-registry/blob/master/test_cases/integer_overflow_and_underflow/integer_overflow_minimal.sol","arithmetic","17"
"integer_overflow_mul.sol","dataset/arithmetic/integer_overflow_mul.sol","https://github.com/SmartContractSecurity/SWC-registry/blob/master/test_cases/integer_overflow_and_underflow/integer_overflow_mul.sol","arithmetic","17"
"integer_overflow_multitx_multifunc_feasible.sol","dataset/arithmetic/integer_overflow_multitx_multifunc_feasible.sol","https://github.com/ConsenSys/evm-analyzer-benchmark-suite","arithmetic","25"
"integer_overflow_multitx_onefunc_feasible.sol","dataset/arithmetic/integer_overflow_multitx_onefunc_feasible.sol","https://github.com/ConsenSys/evm-analyzer-benchmark-suite","arithmetic","22"
"overflow_simple_add.sol","dataset/arithmetic/overflow_simple_add.sol","https://smartcontractsecurity.github.io/SWC-registry/docs/SWC-101#overflow-simple-addsol","arithmetic","14"
"overflow_single_tx.sol","dataset/arithmetic/overflow_single_tx.sol","https://github.com/ConsenSys/evm-analyzer-benchmark-suite","arithmetic","18"
"overflow_single_tx.sol","dataset/arithmetic/overflow_single_tx.sol","https://github.com/ConsenSys/evm-analyzer-benchmark-suite","arithmetic","24"
"overflow_single_tx.sol","dataset/arithmetic/overflow_single_tx.sol","https://github.com/ConsenSys/evm-analyzer-benchmark-suite","arithmetic","30"
"overflow_single_tx.sol","dataset/arithmetic/overflow_single_tx.sol","https://github.com/ConsenSys/evm-analyzer-benchmark-suite","arithmetic","36"
"overflow_single_tx.sol","dataset/arithmetic/overflow_single_tx.sol","https://github.com/ConsenSys/evm-analyzer-benchmark-suite","arithmetic","42"
"overflow_single_tx.sol","dataset/arithmetic/overflow_single_tx.sol","https://github.com/ConsenSys/evm-analyzer-benchmark-suite","arithmetic","48"
"timelock.sol","dataset/arithmetic/timelock.sol","https://github.com/sigp/solidity-security-blog","arithmetic","22"
"token.sol","dataset/arithmetic/token.sol","https://github.com/sigp/solidity-security-blog","arithmetic","20"
"token.sol","dataset/arithmetic/token.sol","https://github.com/sigp/solidity-security-blog","arithmetic","22"
"tokensalechallenge.sol","dataset/arithmetic/tokensalechallenge.sol","https://smartcontractsecurity.github.io/SWC-registry/docs/SWC-101 // https://capturetheether.com/challenges/math/token-sale/","arithmetic","23"
"tokensalechallenge.sol","dataset/arithmetic/tokensalechallenge.sol","https://smartcontractsecurity.github.io/SWC-registry/docs/SWC-101 // https://capturetheether.com/challenges/math/token-sale/","arithmetic","25"
"tokensalechallenge.sol","dataset/arithmetic/tokensalechallenge.sol","https://smartcontractsecurity.github.io/SWC-registry/docs/SWC-101 // https://capturetheether.com/challenges/math/token-sale/","arithmetic","33"
"blackjack.sol","dataset/bad_randomness/blackjack.sol","https://etherscan.io/address/0xa65d59708838581520511d98fb8b5d1f76a96cad#code","bad_randomness","17"
"blackjack.sol","dataset/bad_randomness/blackjack.sol","https://etherscan.io/address/0xa65d59708838581520511d98fb8b5d1f76a96cad#code","bad_randomness","19"
"blackjack.sol","dataset/bad_randomness/blackjack.sol","https://etherscan.io/address/0xa65d59708838581520511d98fb8b5d1f76a96cad#code","bad_randomness","21"
"etheraffle.sol","dataset/bad_randomness/etheraffle.sol","https://etherscan.io/address/0xcC88937F325d1C6B97da0AFDbb4cA542EFA70870#code","bad_randomness","49"
"etheraffle.sol","dataset/bad_randomness/etheraffle.sol","https://etherscan.io/address/0xcC88937F325d1C6B97da0AFDbb4cA542EFA70870#code","bad_randomness","99"
"etheraffle.sol","dataset/bad_randomness/etheraffle.sol","https://etherscan.io/address/0xcC88937F325d1C6B97da0AFDbb4cA542EFA70870#code","bad_randomness","101"
"etheraffle.sol","dataset/bad_randomness/etheraffle.sol","https://etherscan.io/address/0xcC88937F325d1C6B97da0AFDbb4cA542EFA70870#code","bad_randomness","103"
"etheraffle.sol","dataset/bad_randomness/etheraffle.sol","https://etherscan.io/address/0xcC88937F325d1C6B97da0AFDbb4cA542EFA70870#code","bad_randomness","114"
"etheraffle.sol","dataset/bad_randomness/etheraffle.sol","https://etherscan.io/address/0xcC88937F325d1C6B97da0AFDbb4cA542EFA70870#code","bad_randomness","158"
"guess_the_random_number.sol","dataset/bad_randomness/guess_the_random_number.sol","https://capturetheether.com/challenges/lotteries/guess-the-random-number/","bad_randomness","15"
"lottery.sol","dataset/bad_randomness/lottery.sol","https://etherscan.io/address/0x80ddae5251047d6ceb29765f38fed1c0013004b7#code","bad_randomness","38"
"lottery.sol","dataset/bad_randomness/lottery.sol","https://etherscan.io/address/0x80ddae5251047d6ceb29765f38fed1c0013004b7#code","bad_randomness","42"
"lucky_doubler.sol","dataset/bad_randomness/lucky_doubler.sol","https://etherscan.io/address/0xF767fCA8e65d03fE16D4e38810f5E5376c3372A8#code","bad_randomness","127, 128, 129, 130"
"lucky_doubler.sol","dataset/bad_randomness/lucky_doubler.sol","https://etherscan.io/address/0xF767fCA8e65d03fE16D4e38810f5E5376c3372A8#code","bad_randomness","132"
"old_blockhash.sol","dataset/bad_randomness/old_blockhash.sol","https://github.com/SmartContractSecurity/SWC-registry/blob/master/test_cases/weak_randomness/old_blockhash.sol","bad_randomness","35"
"random_number_generator.sol","dataset/bad_randomness/random_number_generator.sol","https://github.com/SmartContractSecurity/SWC-registry/blob/master/test_cases/weak_randomness/random_number_generator.sol","bad_randomness","12"
"random_number_generator.sol","dataset/bad_randomness/random_number_generator.sol","https://github.com/SmartContractSecurity/SWC-registry/blob/master/test_cases/weak_randomness/random_number_generator.sol","bad_randomness","18"
"random_number_generator.sol","dataset/bad_randomness/random_number_generator.sol","https://github.com/SmartContractSecurity/SWC-registry/blob/master/test_cases/weak_randomness/random_number_generator.sol","bad_randomness","20"
"random_number_generator.sol","dataset/bad_randomness/random_number_generator.sol","https://github.com/SmartContractSecurity/SWC-registry/blob/master/test_cases/weak_randomness/random_number_generator.sol","bad_randomness","22"
"smart_billions.sol","dataset/bad_randomness/smart_billions.sol","https://etherscan.io/address/0x5ace17f87c7391e5792a7683069a8025b83bbd85#code","bad_randomness","523"
"smart_billions.sol","dataset/bad_randomness/smart_billions.sol","https://etherscan.io/address/0x5ace17f87c7391e5792a7683069a8025b83bbd85#code","bad_randomness","560"
"smart_billions.sol","dataset/bad_randomness/smart_billions.sol","https://etherscan.io/address/0x5ace17f87c7391e5792a7683069a8025b83bbd85#code","bad_randomness","700"
"smart_billions.sol","dataset/bad_randomness/smart_billions.sol","https://etherscan.io/address/0x5ace17f87c7391e5792a7683069a8025b83bbd85#code","bad_randomness","702"
"smart_billions.sol","dataset/bad_randomness/smart_billions.sol","https://etherscan.io/address/0x5ace17f87c7391e5792a7683069a8025b83bbd85#code","bad_randomness","704"
"smart_billions.sol","dataset/bad_randomness/smart_billions.sol","https://etherscan.io/address/0x5ace17f87c7391e5792a7683069a8025b83bbd85#code","bad_randomness","706"
"smart_billions.sol","dataset/bad_randomness/smart_billions.sol","https://etherscan.io/address/0x5ace17f87c7391e5792a7683069a8025b83bbd85#code","bad_randomness","708"
"smart_billions.sol","dataset/bad_randomness/smart_billions.sol","https://etherscan.io/address/0x5ace17f87c7391e5792a7683069a8025b83bbd85#code","bad_randomness","710"
"smart_billions.sol","dataset/bad_randomness/smart_billions.sol","https://etherscan.io/address/0x5ace17f87c7391e5792a7683069a8025b83bbd85#code","bad_randomness","712"
"smart_billions.sol","dataset/bad_randomness/smart_billions.sol","https://etherscan.io/address/0x5ace17f87c7391e5792a7683069a8025b83bbd85#code","bad_randomness","714"
"smart_billions.sol","dataset/bad_randomness/smart_billions.sol","https://etherscan.io/address/0x5ace17f87c7391e5792a7683069a8025b83bbd85#code","bad_randomness","716"
"smart_billions.sol","dataset/bad_randomness/smart_billions.sol","https://etherscan.io/address/0x5ace17f87c7391e5792a7683069a8025b83bbd85#code","bad_randomness","718"
"auction.sol","dataset/denial_of_service/auction.sol","https://github.com/trailofbits/not-so-smart-contracts/blob/master/denial_of_service/auction.sol","denial_of_service","23"
"dos_address.sol","dataset/denial_of_service/dos_address.sol","https://github.com/SmartContractSecurity/SWC-registry/blob/master/test_cases/dos_gas_limit/dos_address.sol","denial_of_service","16, 17, 18"
"dos_number.sol","dataset/denial_of_service/dos_number.sol","https://github.com/SmartContractSecurity/SWC-registry/blob/master/test_cases/dos_gas_limit/dos_number.sol","denial_of_service","18, 19, 20, 21, 22"
"dos_simple.sol","dataset/denial_of_service/dos_simple.sol","https://github.com/SmartContractSecurity/SWC-registry/blob/master/test_cases/dos_gas_limit/dos_simple.sol","denial_of_service","17, 18"
"list_dos.sol","dataset/denial_of_service/list_dos.sol","https://etherscan.io/address/0xf45717552f12ef7cb65e95476f217ea008167ae3#code","denial_of_service","46"
"list_dos.sol","dataset/denial_of_service/list_dos.sol","https://etherscan.io/address/0xf45717552f12ef7cb65e95476f217ea008167ae3#code","denial_of_service","48"
"send_loop.sol","dataset/denial_of_service/send_loop.sol","https://consensys.github.io/smart-contract-best-practices/known_attacks/#dos-with-unexpected-revert","denial_of_service","24"
"ERC20.sol","dataset/front_running/ERC20.sol","https://github.com/SmartContractSecurity/SWC-registry/blob/master/test_cases/transaction_order_dependence/ERC20.sol","front_running","110"
"ERC20.sol","dataset/front_running/ERC20.sol","https://github.com/SmartContractSecurity/SWC-registry/blob/master/test_cases/transaction_order_dependence/ERC20.sol","front_running","113"
"FindThisHash.sol","dataset/front_running/FindThisHash.sol","https://github.com/sigp/solidity-security-blog","front_running","17"
"eth_tx_order_dependence_minimal.sol","dataset/front_running/eth_tx_order_dependence_minimal.sol","https://github.com/ConsenSys/evm-analyzer-benchmark-suite","front_running","23"
"eth_tx_order_dependence_minimal.sol","dataset/front_running/eth_tx_order_dependence_minimal.sol","https://github.com/ConsenSys/evm-analyzer-benchmark-suite","front_running","31"
"odds_and_evens.sol","dataset/front_running/odds_and_evens.sol","http://blockchain.unica.it/projects/ethereum-survey/attacks.html#oddsandevens","front_running","25"
"odds_and_evens.sol","dataset/front_running/odds_and_evens.sol","http://blockchain.unica.it/projects/ethereum-survey/attacks.html#oddsandevens","front_running","28"
"crypto_roulette.sol","dataset/other/crypto_roulette.sol","https://github.com/thec00n/smart-contract-honeypots/blob/master/CryptoRoulette.sol","other","40,41,42"
"name_registrar.sol","dataset/other/name_registrar.sol","https://github.com/sigp/solidity-security-blog#storage-example","other","21,22,23"
"open_address_lottery.sol","dataset/other/open_address_lottery.sol","https://etherscan.io/address/0x741f1923974464efd0aa70e77800ba5d9ed18902#code","other","91,92,93,94,95"
"etherstore.sol","dataset/reentrancy/etherstore.sol","https://github.com/sigp/solidity-security-blog","reentrancy","27"
"modifier_reentrancy.sol","dataset/reentrancy/modifier_reentrancy.sol","https://github.com/SmartContractSecurity/SWC-registry/blob/master/test_cases/reentracy/modifier_reentrancy.sol","reentrancy","15"
"reentrance.sol","dataset/reentrancy/reentrance.sol","https://ethernaut.zeppelin.solutions/level/0xf70706db003e94cfe4b5e27ffd891d5c81b39488","reentrancy","24"
"reentrancy_dao.sol","dataset/reentrancy/reentrancy_dao.sol","https://github.com/ConsenSys/evm-analyzer-benchmark-suite","reentrancy","18"
"reentrancy_simple.sol","dataset/reentrancy/reentrancy_simple.sol","https://github.com/trailofbits/not-so-smart-contracts/blob/master/reentrancy/Reentrancy.sol","reentrancy","24"
"simple_dao.sol","dataset/reentrancy/simple_dao.sol","http://blockchain.unica.it/projects/ethereum-survey/attacks.html#simpledao","reentrancy","19"
"spank_chain_payment.sol","dataset/reentrancy/spank_chain_payment.sol","https://github.com/trailofbits/not-so-smart-contracts/blob/master/reentrancy/SpankChain_source_code/SpankChain_Payment.sol","reentrancy","426"
"spank_chain_payment.sol","dataset/reentrancy/spank_chain_payment.sol","https://github.com/trailofbits/not-so-smart-contracts/blob/master/reentrancy/SpankChain_source_code/SpankChain_Payment.sol","reentrancy","430"
"short_address_example.sol","dataset/short_addresses/short_address_example.sol","https://ericrafaloff.com/analyzing-the-erc20-short-address-attack/","short_addresses","18"
"ether_lotto.sol","dataset/time_manipulation/ether_lotto.sol","https://etherscan.io/address/0xa11e4ed59dc94e69612f3111942626ed513cb172#code","time_manipulation","43"
"governmental_survey.sol","dataset/time_manipulation/governmental_survey.sol","http://blockchain.unica.it/projects/ethereum-survey/attacks.html#governmental","time_manipulation","27"
"roulette.sol","dataset/time_manipulation/roulette.sol","https://github.com/sigp/solidity-security-blog","time_manipulation","18"
"roulette.sol","dataset/time_manipulation/roulette.sol","https://github.com/sigp/solidity-security-blog","time_manipulation","20"
"timed_crowdsale.sol","dataset/time_manipulation/timed_crowdsale.sol","https://github.com/SmartContractSecurity/SWC-registry/blob/master/test_cases/timestamp_dependence/timed_crowdsale.sol","time_manipulation","13"
"FibonacciBalance.sol","dataset/unchecked_low_level_calls/FibonacciBalance.sol","https://github.com/sigp/solidity-security-blog","unchecked_low_level_calls","31"
"FibonacciBalance.sol","dataset/unchecked_low_level_calls/FibonacciBalance.sol","https://github.com/sigp/solidity-security-blog","unchecked_low_level_calls","38"
"etherpot_lotto.sol","dataset/unchecked_low_level_calls/etherpot_lotto.sol","https://github.com/etherpot/contract/blob/master/app/contracts/lotto.sol","unchecked_low_level_calls","109"
"etherpot_lotto.sol","dataset/unchecked_low_level_calls/etherpot_lotto.sol","https://github.com/etherpot/contract/blob/master/app/contracts/lotto.sol","unchecked_low_level_calls","141"
"king_of_the_ether_throne.sol","dataset/unchecked_low_level_calls/king_of_the_ether_throne.sol","https://github.com/kieranelby/KingOfTheEtherThrone/blob/v0.4.0/contracts/KingOfTheEtherThrone.sol","unchecked_low_level_calls","110"
"king_of_the_ether_throne.sol","dataset/unchecked_low_level_calls/king_of_the_ether_throne.sol","https://github.com/kieranelby/KingOfTheEtherThrone/blob/v0.4.0/contracts/KingOfTheEtherThrone.sol","unchecked_low_level_calls","117"
"king_of_the_ether_throne.sol","dataset/unchecked_low_level_calls/king_of_the_ether_throne.sol","https://github.com/kieranelby/KingOfTheEtherThrone/blob/v0.4.0/contracts/KingOfTheEtherThrone.sol","unchecked_low_level_calls","130"
"king_of_the_ether_throne.sol","dataset/unchecked_low_level_calls/king_of_the_ether_throne.sol","https://github.com/kieranelby/KingOfTheEtherThrone/blob/v0.4.0/contracts/KingOfTheEtherThrone.sol","unchecked_low_level_calls","172"
"lotto.sol","dataset/unchecked_low_level_calls/lotto.sol","https://github.com/sigp/solidity-security-blog","unchecked_low_level_calls","20"
"lotto.sol","dataset/unchecked_low_level_calls/lotto.sol","https://github.com/sigp/solidity-security-blog","unchecked_low_level_calls","27"
"unchecked_return_value.sol","dataset/unchecked_low_level_calls/unchecked_return_value.sol","https://smartcontractsecurity.github.io/SWC-registry/docs/SWC-104#unchecked-return-valuesol","unchecked_low_level_calls","13"
"unchecked_return_value.sol","dataset/unchecked_low_level_calls/unchecked_return_value.sol","https://smartcontractsecurity.github.io/SWC-registry/docs/SWC-104#unchecked-return-valuesol","unchecked_low_level_calls","18"
